cycle,stage,elapsed_seconds,ParamA,ParamEyeLOpen,ParamEyeROpen,ParamBreath,ParamEyeBallX,ParamEyeBallY,ParamAngleX,ParamAngleY,ParamAngleZ,changed_drawables_from_neutral,geometry_dirty,render_order_dirty,animation_playing,visible_masked_ids,visible_inverted_ids,screenshot
1,breath-wave,24.8278,0,1,1,0.7799853,0,0,0,0,0,156,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-10-breath-wave.png
1,look-left,26.8279,0,1,1,0,-0.8,0,-15,0,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-11-look-left.png
1,look-right,28.8277,0,1,1,0,0.8,0,15,0,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-12-look-right.png
1,look-up,30.8269,0,1,1,0,0,0.8,0,15,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-13-look-up.png
1,look-down,32.8277,0,1,1,0,0,-0.8,0,-15,0,93,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-14-look-down.png
1,look-center,34.8289,0,1,1,0,0,0,0,0,0,0,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-15-look-center.png
1,greeting-tapbody-0,37.5102,0,0,0,0,0,0,0,-18.3489323,0,163,262,0,True,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-16-greeting-tapbody-0.png
1,mask-stress-special-01,45.5103,0,1,1,0,-0.2,0.2,-24.4749641,14.868206,-9.105685,190,262,0,True,ArtMesh160;ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh190;ArtMesh189;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh160;ArtMesh275;ArtMesh190;ArtMesh189;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-17-mask-stress-special-01.png
1,return-idle,52.8264,0,1,1,0,0,0,-0.7167776,-0.808936059,1.84574807,163,262,0,True,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,behavior-18-return-idle.png
2,idle,60.8258,0,1,1,0,0,0,-0.7183499,-0.8108217,1.84916651,163,262,0,True,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,neutral,66.8098,0,1,1,0,0,0,0,0,0,0,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,mouth-open,68.8252,1,1,1,0,0,0,0,0,0,13,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
2,mouth-closed,70.8090,0,1,1,0,0,0,0,0,0,0,262,0,False,ArtMesh123;ArtMesh202;ArtMesh276;ArtMesh275;ArtMesh272;ArtMesh270;ArtMesh269;ArtMesh268;ArtMesh260;ArtMesh259;ArtMesh258;ArtMesh257;ArtMesh255;ArtMesh254;ArtMesh253;ArtMesh252;ArtMesh250;ArtMesh249;ArtMesh248;ArtMesh247;ArtMesh218;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293;ArtMesh14;ArtMesh20,ArtMesh275;ArtMesh287;ArtMesh288;ArtMesh292;ArtMesh293,
