run,seconds,phase,working_bytes,private_bytes,unity_bytes,motion_playables
b94-final,490.204653,Ready,298196992,509792256,77723399,6
b94-final,495.204829,Ready,298196992,509792256,77722767,6
b94-final,500.206407,Ready,298196992,509792256,77723044,6
b94-final,505.208195,Ready,298196992,509792256,77722893,6
b94-final,510.208326,Ready,298196992,509792256,77722735,6
b94-final,515.209713,Ready,298196992,509792256,77722735,6
b94-final,520.210505,Ready,298196992,509792256,77723202,6
b94-final,525.211487,Ready,298196992,509792256,77722886,6
b94-final,530.213106,Ready,298196992,509792256,77723202,6
b94-final,535.215506,Ready,298201088,509792256,77723109,6
b94-final,540.216003,Ready,298201088,509792256,77723267,6
b94-final,545.217648,Ready,298201088,509792256,77722951,6
b94-final,550.218377,Ready,298201088,509792256,77723323,6
b94-final,555.219377,Ready,298201088,509792256,77723244,6
b94-final,560.221241,Ready,298201088,509792256,77723244,6
b94-final,565.222584,Ready,298201088,509792256,77722975,6
b94-final,570.223932,Ready,298201088,509792256,77723054,6
b94-final,575.225057,Ready,298201088,509792256,77722975,6
b94-final,580.225699,Ready,298201088,509792256,77722847,6
b94-final,585.226033,Ready,298201088,509792256,77723084,6
b94-final,590.226844,Ready,298201088,509792256,77723005,6
b94-final,595.228474,Ready,298201088,509792256,77722911,6
e3fd-shots,0.076481,Ready,529252352,782376960,76179475,
e3fd-shots,5.089435,Ready,546476032,778620928,76134802,
e3fd-shots,10.092734,Speaking,339369984,568537088,77027397,
e3fd-shots,15.107241,PreparingSpeech,293138432,525389824,76298989,
e3fd-shots,20.108306,Speaking,299360256,530427904,77303315,
e3fd-shots,25.10959,Speaking,292786176,522240000,77447298,
e3fd-shots,30.109741,Speaking,293257216,522199040,77577650,
e3fd-shots,35.111128,Speaking,290357248,518135808,77708118,
e3fd-shots,40.111238,Speaking,290365440,518135808,77936566,
e3fd-shots,45.111592,Speaking,291164160,518135808,78067993,
e3fd-shots,50.112127,Ready,308772864,535273472,77706673,
e3fd-shots,55.112964,Ready,291815424,517275648,77706457,
e3fd-shots,60.113823,Ready,291762176,517177344,77707353,
e3fd-shots,65.115112,Ready,291774464,517185536,77708273,
e3fd-shots,70.128308,Ready,300756992,525533184,77719793,
e3fd-shots,75.128491,Ready,292139008,515903488,77719432,
e3fd-shots,80.129317,Ready,292044800,513781760,77718451,
e3fd-shots,85.129746,Ready,292044800,513781760,77732321,
e3fd-shots,90.130745,Ready,291995648,512724992,77731817,
e3fd-shots,95.131538,Ready,291995648,512724992,77731937,
e3fd-shots,100.132341,Ready,291897344,512716800,77742753,
